delivery_id,delivery_partner,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_cost,sla_expected_hours,delivery_rating,effective_speed_kmph,weather_factor,base_travel_time_hours,actual_delivery_time_hours,delay_hours,sla_breach_flag,cost_per_km,weight_cost_ratio,delay_bucket,sla_breach,cost_leakage_flag,
DEL56,fedex,truck,same day,east,stormy,167.7,42.4,1065.7,6,5,38,0.8,5.52,8.23,2.23,1,6.35,25.13,SLA Risk,Breach,0,
DEL57,delhivery,ev bike,standard,central,cold,197.7,25.84,1066.02,18,5,30,0.8,8.24,11.12,0,0,5.39,41.25,On Time,On Time,0,
DEL58,fedex,ev van,standard,north,foggy,211.9,46.94,1200.32,18,5,40,0.65,8.15,12.74,0,0,5.66,25.57,On Time,On Time,0,
DEL59,blue dart,scooter,same day,west,stormy,64.3,21.05,484.65,5,5,40,0.8,2.01,2.04,0,0,7.54,23.02,On Time,On Time,0,
DEL60,xpressbees,scooter,two day,east,hot,206.7,3.87,1045.11,18,4,40,0.8,6.46,8.87,0,0,5.06,270.05,On Time,On Time,0,
DEL61,xpressbees,bike,two day,east,cold,83.5,6.81,437.93,17,5,35,0.8,2.98,3.94,0,0,5.24,64.31,On Time,On Time,0,
DEL62,ecom express,truck,same day,central,foggy,9.3,47.62,289.36,4,5,38,0.65,0.38,2.56,0,0,31.11,6.08,On Time,On Time,1,
DEL63,xpressbees,ev bike,standard,west,rainy,245.9,47.01,1370.53,18,3,30,0.75,10.93,15.34,0,0,5.57,29.15,On Time,On Time,0,
DEL64,dhl,ev van,express,north,stormy,225.7,45.7,1315.6,10,2,40,0.8,7.05,9.74,0,0,5.83,28.79,On Time,On Time,0,
DEL65,ecom express,bike,express,east,hot,226,37.62,1292.86,10,2,35,0.8,8.07,10.62,0.62,1,5.72,34.37,Operational Variance,Breach,0,
DEL66,dhl,bike,two day,west,hot,113.3,34.03,668.59,17,5,35,0.8,4.05,4.42,0,0,5.9,19.65,On Time,On Time,0,
DEL67,ekart,ev bike,standard,north,stormy,232.3,41.91,1287.23,18,4,30,0.8,9.68,12.31,0,0,5.54,30.71,On Time,On Time,0,
DEL68,ecom express,scooter,express,east,cold,87.7,22.38,555.64,9,2,40,0.8,2.74,3.32,0,0,6.34,24.83,On Time,On Time,0,
DEL69,dhl,van,same day,east,rainy,90.1,27.46,632.88,5,4,45,0.75,2.67,5.02,0.02,1,7.02,23.05,Operational Variance,Breach,0,
DEL70,delhivery,bike,express,north,rainy,110.4,44.94,736.82,9,2,35,0.75,4.21,5.88,0,0,6.67,16.4,On Time,On Time,0,
DEL71,fedex,bike,same day,central,cold,217.3,3.03,1195.59,6,5,35,0.8,7.76,10.63,4.63,1,5.5,394.58,SLA Breach,Breach,0,
DEL72,amazon logistics,truck,standard,south,rainy,75.2,28.25,460.75,17,3,38,0.75,2.64,4.64,0,0,6.13,16.31,On Time,On Time,0,
DEL73,blue dart,ev bike,two day,south,hot,23.2,19.18,173.54,16,5,30,0.8,0.97,1.64,0,0,7.48,9.05,On Time,On Time,0,
DEL74,fedex,ev van,express,north,rainy,78.5,27.87,526.11,9,3,40,0.75,2.62,4.64,0,0,6.7,18.88,On Time,On Time,0,
DEL75,blue dart,van,express,north,hot,138.3,47.87,885.11,9,3,45,0.8,3.84,4.79,0,0,6.4,18.49,On Time,On Time,0,
DEL76,xpressbees,truck,two day,north,cold,96.4,39.33,599.99,17,4,38,0.8,3.17,4.01,0,0,6.22,15.26,On Time,On Time,0,
DEL77,fedex,ev van,standard,west,cold,216.2,23.93,1152.79,18,4,40,0.8,6.76,8.99,0,0,5.33,48.17,On Time,On Time,0,
DEL78,ekart,van,express,south,stormy,24.1,34.1,272.8,8,3,45,0.8,0.67,0.98,0,0,11.32,8,On Time,On Time,1,
DEL79,ekart,scooter,standard,east,rainy,197.1,28.23,1070.19,18,4,40,0.75,6.57,10.61,0,0,5.43,37.91,On Time,On Time,0,
DEL80,shadowfax,ev bike,same day,west,foggy,94.8,10.02,604.06,5,4,30,0.65,4.86,7.22,2.22,1,6.37,60.29,SLA Risk,Breach,0,
DEL81,xpressbees,bike,express,south,hot,56,22.91,398.73,9,2,35,0.8,2,2.45,0,0,7.12,17.4,On Time,On Time,0,
DEL82,ecom express,scooter,same day,east,stormy,70.7,5.72,470.66,5,3,40,0.8,2.21,2.26,0,0,6.66,82.28,On Time,On Time,0,
DEL83,dhl,bike,same day,east,rainy,60.4,22.93,470.79,5,5,35,0.75,2.3,3.99,0,0,7.79,20.53,On Time,On Time,0,
DEL84,blue dart,truck,same day,central,stormy,258.4,22.08,1458.24,6,2,38,0.8,8.5,11.15,5.15,1,5.64,66.04,SLA Breach,Breach,0,
DEL85,amazon logistics,scooter,two day,central,cold,89.3,34.98,551.44,17,4,40,0.8,2.79,3.37,0,0,6.18,15.76,On Time,On Time,0,
DEL86,shadowfax,van,two day,south,clear,244,13.62,1260.86,18,4,45,1,5.42,8.01,0,0,5.17,92.57,On Time,On Time,0,
DEL87,xpressbees,truck,standard,south,stormy,87.8,19.77,498.31,17,4,38,0.8,2.89,3.86,0,0,5.68,25.21,On Time,On Time,0,
DEL88,delhivery,scooter,same day,east,stormy,3.6,20.7,172.6,4,4,40,0.8,0.11,0.68,0,0,47.94,8.34,On Time,On Time,1,
DEL89,ekart,van,two day,south,cold,3.6,8.75,95.6674,16,3,45,0.8,0.1,0.13,0,0,26.57,10.93,On Time,On Time,1,
DEL90,xpressbees,van,standard,east,rainy,111,36.68,665.04,17,4,45,0.75,3.29,5.28,0,0,5.99,18.13,On Time,On Time,0,
DEL91,amazon logistics,bike,express,east,rainy,256.4,33.53,1432.59,10,3,35,0.75,9.77,13.69,3.69,1,5.59,42.73,SLA Breach,Breach,0,
DEL92,dhl,ev van,same day,east,foggy,177.9,20.16,1049.98,6,5,40,0.65,6.84,11.78,5.78,1,5.9,52.08,SLA Breach,Breach,0,
DEL93,amazon logistics,ev van,two day,east,rainy,204.2,8.09,1045.27,18,4,40,0.75,6.81,10.98,0,0,5.12,129.21,On Time,On Time,0,
DEL94,amazon logistics,ev bike,standard,central,cold,125,39.41,743.23,17,5,30,0.8,5.21,5.75,0,0,5.95,18.86,On Time,On Time,0,
DEL95,dhl,bike,two day,north,hot,83.3,34.71,520.63,17,4,35,0.8,2.98,3.96,0,0,6.25,15,On Time,On Time,0,
DEL96,ecom express,van,standard,west,foggy,193.2,33.28,1065.84,18,4,45,0.65,6.61,11.49,0,0,5.52,32.03,On Time,On Time,0,
DEL97,ekart,van,two day,east,foggy,174.3,47.29,1013.37,18,5,45,0.65,5.96,10.44,0,0,5.81,21.43,On Time,On Time,0,
DEL98,ekart,bike,same day,west,clear,11.4,40.22,277.66,4,5,35,1,0.33,0.9,0,0,24.36,6.9,On Time,On Time,1,
DEL99,xpressbees,ev van,express,east,clear,166.4,44.96,1016.88,10,2,40,1,4.16,7.05,0,0,6.11,22.62,On Time,On Time,0,
DEL100,shadowfax,van,standard,west,stormy,189.6,38.07,1062.21,18,5,45,0.8,5.27,7.62,0,0,5.6,27.9,On Time,On Time,0,
DEL101,blue dart,truck,express,west,stormy,111.2,37.33,717.99,9,2,38,0.8,3.66,3.98,0,0,6.46,19.23,On Time,On Time,0,
DEL102,amazon logistics,ev bike,same day,west,hot,103.2,37.97,729.91,5,5,30,0.8,4.3,5.24,0.24,1,7.07,19.22,Operational Variance,Breach,0,
DEL103,blue dart,scooter,standard,east,clear,236.4,47.28,1323.84,18,4,40,1,5.91,8.58,0,0,5.6,28,On Time,On Time,0,
DEL104,amazon logistics,van,same day,central,clear,111.9,26.34,738.52,5,5,45,1,2.49,3.16,0,0,6.6,28.04,On Time,On Time,0,
DEL105,delhivery,ev van,standard,south,stormy,86.6,20.64,494.92,17,5,40,0.8,2.71,3.52,0,0,5.72,23.98,On Time,On Time,0,
DEL106,amazon logistics,ev bike,standard,west,clear,235.6,48.07,1322.21,18,5,30,1,7.85,10.65,0,0,5.61,27.51,On Time,On Time,0,
DEL107,amazon logistics,truck,same day,south,cold,295.5,48.45,1632.7206,6,4,38,0.8,9.72,12.33,6.33,1,5.53,33.7,SLA Breach,Breach,0,
DEL108,amazon logistics,truck,two day,west,foggy,56.3,43.65,412.45,17,5,38,0.65,2.28,4.63,0,0,7.33,9.45,On Time,On Time,0,
DEL109,shadowfax,bike,two day,central,stormy,114.2,28.82,657.46,17,5,35,0.8,4.08,4.11,0,0,5.76,22.81,On Time,On Time,0,
DEL110,fedex,scooter,same day,north,hot,3.6,31.41,203.23,4,4,40,0.8,0.11,0.87,0,0,56.45,6.47,On Time,On Time,1,
DEL111,xpressbees,bike,same day,west,stormy,146.2,22.55,898.65,5,2,35,0.8,5.22,6,1,1,6.15,39.85,Operational Variance,Breach,0,
DEL112,ekart,ev bike,same day,east,clear,85.6,10.69,560.07,5,4,30,1,2.85,3.25,0,0,6.54,52.39,On Time,On Time,0,
DEL113,amazon logistics,ev van,express,south,rainy,247.9,5.23,1305.19,10,2,40,0.75,8.26,12.01,2.01,1,5.26,249.56,SLA Risk,Breach,0,
DEL114,shadowfax,bike,standard,south,foggy,274.8,0.82,1376.46,18,4,35,0.65,12.08,16.89,0,0,5.01,1678.61,On Time,On Time,0,
DEL115,fedex,scooter,standard,west,clear,35.7,10.8,210.9,16,3,40,1,0.89,1.22,0,0,5.91,19.53,On Time,On Time,0,
DEL116,fedex,van,express,central,stormy,259.3,27.01,1427.53,10,1,45,0.8,7.2,10.07,0.07,1,5.51,52.85,Operational Variance,Breach,0,
DEL117,shadowfax,ev bike,same day,south,clear,65.3,45.09,561.77,5,5,30,1,2.18,3.13,0,0,8.6,12.46,On Time,On Time,1,
DEL118,delhivery,van,express,south,clear,93.1,20.89,578.17,9,3,45,1,2.07,2.7,0,0,6.21,27.68,On Time,On Time,0,
DEL119,blue dart,bike,standard,central,hot,265.8,32.11,1425.33,18,5,35,0.8,9.49,11.71,0,0,5.36,44.39,On Time,On Time,0,
DEL120,ekart,truck,two day,west,clear,110.2,23.24,620.72,17,4,38,1,2.9,3.57,0,0,5.63,26.71,On Time,On Time,0,
DEL121,blue dart,bike,standard,west,clear,6,0.88,95.6674,16,4,35,1,0.17,0.52,0,0,15.94,108.71,On Time,On Time,1,
DEL122,dhl,truck,two day,east,foggy,16.5,21.49,146.97,16,4,38,0.65,0.67,3.48,0,0,8.91,6.84,On Time,On Time,1,
DEL123,xpressbees,ev van,standard,north,cold,102,18.67,566.01,17,4,40,0.8,3.19,3.9,0,0,5.55,30.32,On Time,On Time,0,
DEL124,shadowfax,bike,express,north,rainy,265.4,15.96,1424.88,10,3,35,0.75,10.11,14.43,4.43,1,5.37,89.28,SLA Breach,Breach,0,
DEL125,fedex,ev van,two day,north,foggy,27.5,15.43,183.79,16,5,40,0.65,1.06,3.22,0,0,6.68,11.91,On Time,On Time,0,
DEL126,amazon logistics,truck,two day,south,hot,59.5,7.79,320.87,17,3,38,0.8,1.96,2.69,0,0,5.39,41.19,On Time,On Time,0,
DEL127,shadowfax,bike,express,north,cold,290.2,29.26,1588.78,10,4,35,0.8,10.36,12.68,2.68,1,5.47,54.3,SLA Risk,Breach,0,
DEL128,delhivery,scooter,standard,east,rainy,124,40.2,740.6,17,4,40,0.75,4.13,6.01,0,0,5.97,18.42,On Time,On Time,0,
DEL129,xpressbees,scooter,two day,north,clear,261.9,41.68,1434.54,18,4,40,1,6.55,8.93,0,0,5.48,34.42,On Time,On Time,0,
DEL130,shadowfax,ev van,two day,central,rainy,115.6,13.57,618.71,17,5,40,0.75,3.85,5.68,0,0,5.35,45.59,On Time,On Time,0,
DEL131,shadowfax,ev bike,express,east,hot,156,14.49,873.47,10,3,30,0.8,6.5,9.13,0,0,5.6,60.28,On Time,On Time,0,
DEL132,shadowfax,van,standard,north,foggy,284.1,14.35,1463.55,18,4,45,0.65,9.71,14.25,0,0,5.15,101.99,On Time,On Time,0,
DEL133,fedex,truck,same day,north,cold,287,8.21,1559.63,6,1,38,0.8,9.44,11.45,5.45,1,5.43,189.97,SLA Breach,Breach,0,
DEL134,delhivery,van,two day,north,foggy,50.5,31.28,346.34,17,4,45,0.65,1.73,4.57,0,0,6.86,11.07,On Time,On Time,0,
DEL135,shadowfax,van,two day,west,foggy,203.3,7.5,1039,18,4,45,0.65,6.95,11.02,0,0,5.11,138.53,On Time,On Time,0,
DEL136,amazon logistics,truck,same day,west,hot,127.8,20.03,799.09,5,3,38,0.8,4.2,4.51,0,0,6.25,39.89,On Time,On Time,0,
DEL137,ekart,scooter,two day,east,cold,45.8,27.22,310.66,16,5,40,0.8,1.43,1.7,0,0,6.78,11.41,On Time,On Time,0,
DEL138,shadowfax,ev bike,same day,west,hot,8.7,33.93,245.29,4,5,30,0.8,0.36,1.12,0,0,28.19,7.23,On Time,On Time,1,
DEL139,delhivery,ev van,standard,north,rainy,152.8,48.37,909.11,18,4,40,0.75,5.09,8.66,0,0,5.95,18.79,On Time,On Time,0,
DEL140,dhl,ev van,same day,south,rainy,29,40.89,367.67,4,4,40,0.75,0.97,2.93,0,0,12.68,8.99,On Time,On Time,1,
DEL141,dhl,scooter,standard,north,clear,281.6,19.81,1467.43,18,3,40,1,7.04,9.56,0,0,5.21,74.08,On Time,On Time,0,
DEL142,ecom express,van,same day,east,stormy,75.7,41.47,602.91,5,2,45,0.8,2.1,2.96,0,0,7.96,14.54,On Time,On Time,0,
DEL143,blue dart,scooter,standard,north,cold,132.5,14.18,705.04,17,4,40,0.8,4.14,4.36,0,0,5.32,49.72,On Time,On Time,0,
DEL144,ekart,truck,standard,west,rainy,218.2,34,1193,18,5,38,0.75,7.66,11.29,0,0,5.47,35.09,On Time,On Time,0,
DEL145,dhl,scooter,express,east,rainy,152.8,10.46,845.38,10,2,40,0.75,5.09,9.07,0,0,5.53,80.82,On Time,On Time,0,
DEL146,ecom express,van,same day,west,cold,113.8,21.95,734.85,5,3,45,0.8,3.16,3.94,0,0,6.46,33.48,On Time,On Time,0,
DEL147,amazon logistics,bike,standard,east,clear,189.3,30.78,1038.84,18,5,35,1,5.41,7.64,0,0,5.49,33.75,On Time,On Time,0,
DEL148,delhivery,truck,two day,north,rainy,60.1,40.63,422.39,17,3,38,0.75,2.11,4.3,0,0,7.03,10.4,On Time,On Time,0,
DEL149,ekart,truck,same day,south,foggy,147.7,46.57,978.21,5,4,38,0.65,5.98,7.98,2.98,1,6.62,21.01,SLA Risk,Breach,0,
DEL150,amazon logistics,truck,two day,north,cold,289,48.99,1591.97,18,4,38,0.8,9.51,12.21,0,0,5.51,32.5,On Time,On Time,0,
DEL151,delhivery,van,express,north,cold,235.6,42.35,1355.05,10,3,45,0.8,6.54,9.27,0,0,5.75,32,On Time,On Time,0,
DEL152,amazon logistics,ev bike,same day,central,cold,101.1,9.76,634.78,5,4,30,0.8,4.21,5.03,0.03,1,6.28,65.04,Operational Variance,Breach,0,
DEL153,ekart,truck,two day,central,cold,273.9,42.56,1497.18,18,3,38,0.8,9.01,11.36,0,0,5.47,35.18,On Time,On Time,0,
DEL154,ecom express,scooter,standard,north,clear,262.6,29.36,1401.08,18,4,40,1,6.57,9.48,0,0,5.34,47.72,On Time,On Time,0,
DEL155,ekart,van,two day,east,clear,82.2,18.81,467.43,17,3,45,1,1.83,2.19,0,0,5.69,24.85,On Time,On Time,0,
DEL156,dhl,truck,same day,south,cold,280.3,15.29,1547.37,6,4,38,0.8,9.22,12.21,6.21,1,5.52,101.2,SLA Breach,Breach,0,
DEL157,shadowfax,bike,same day,east,foggy,146.1,36.12,938.86,5,2,35,0.65,6.42,8.83,3.83,1,6.43,25.99,SLA Breach,Breach,0,
DEL158,blue dart,van,same day,west,clear,279.9,21.63,1564.39,6,2,45,1,6.22,8.9,2.9,1,5.59,72.33,SLA Risk,Breach,0,
DEL159,shadowfax,ev van,same day,south,stormy,165.4,43.2,1056.6,6,2,40,0.8,5.17,7.22,1.22,1,6.39,24.46,SLA Risk,Breach,0,
DEL160,fedex,van,two day,central,cold,29.9,47.31,291.43,16,3,45,0.8,0.83,1.07,0,0,9.75,6.16,On Time,On Time,1,
DEL161,amazon logistics,truck,standard,north,hot,42.6,44.55,346.65,16,4,38,0.8,1.4,2.1,0,0,8.14,7.78,On Time,On Time,0,
DEL162,ecom express,ev bike,standard,east,foggy,149.9,23.31,819.43,17,4,30,0.65,7.69,9.69,0,0,5.47,35.15,On Time,On Time,0,
DEL163,shadowfax,scooter,standard,west,rainy,8.4,44.16,174.48,16,4,40,0.75,0.28,2.1,0,0,20.77,3.95,On Time,On Time,1,
DEL164,dhl,ev bike,two day,east,hot,230.8,30.01,1244.03,18,4,30,0.8,9.62,11.89,0,0,5.39,41.45,On Time,On Time,0,
DEL165,dhl,bike,express,west,clear,93,9.37,543.11,9,4,35,1,2.66,3.58,0,0,5.84,57.96,On Time,On Time,0,
DEL166,dhl,van,two day,west,clear,10.4,4.59,95.6674,16,4,45,1,0.23,0.61,0,0,9.2,20.84,On Time,On Time,1,
DEL167,amazon logistics,truck,two day,north,hot,194.9,2.42,981.76,18,4,38,0.8,6.41,8.47,0,0,5.04,405.69,On Time,On Time,0,
DEL168,ekart,scooter,express,west,rainy,182.1,2.26,967.28,10,2,40,0.75,6.07,10.42,0.42,1,5.31,428,Operational Variance,Breach,0,
DEL169,blue dart,ev bike,standard,south,clear,38.8,40.89,316.67,16,4,30,1,1.29,1.92,0,0,8.16,7.74,On Time,On Time,0,
DEL170,dhl,bike,two day,north,cold,55.2,6.78,296.34,17,3,35,0.8,1.97,2.35,0,0,5.37,43.71,On Time,On Time,0,
DEL171,delhivery,truck,express,east,stormy,223.3,44.36,1299.58,10,1,38,0.8,7.35,9.95,0,0,5.82,29.3,On Time,On Time,0,
DEL172,delhivery,truck,express,west,hot,46.2,14.83,325.49,8,5,38,0.8,1.52,2.2,0,0,7.05,21.95,On Time,On Time,0,
DEL173,delhivery,ev bike,two day,south,hot,3.6,49.52,163.39,16,5,30,0.8,0.15,0.23,0,0,45.39,3.3,On Time,On Time,1,
DEL174,xpressbees,scooter,express,north,hot,297.1,22,1615.5,10,5,40,0.8,9.28,11.95,1.95,1,5.44,73.43,SLA Risk,Breach,0,
DEL175,xpressbees,bike,express,central,hot,87.8,7.72,512.16,9,5,35,0.8,3.14,3.81,0,0,5.83,66.34,On Time,On Time,0,
DEL176,xpressbees,truck,express,central,hot,267.4,11.53,1421.59,10,2,38,0.8,8.8,11.17,1.17,1,5.32,123.29,SLA Risk,Breach,0,
DEL177,fedex,ev van,two day,east,stormy,124.8,10.84,656.52,17,4,40,0.8,3.9,4.82,0,0,5.26,60.56,On Time,On Time,0,
DEL178,xpressbees,ev bike,express,south,clear,288.9,8.3,1519.4,10,4,30,1,9.63,12.46,2.46,1,5.26,183.06,SLA Risk,Breach,0,
DEL179,blue dart,scooter,two day,central,hot,129.5,39.84,767.02,17,4,40,0.8,4.05,4.47,0,0,5.92,19.25,On Time,On Time,0,
DEL180,ecom express,van,same day,south,foggy,225,7.32,1246.96,6,3,45,0.65,7.69,12.31,6.31,1,5.54,170.35,SLA Breach,Breach,0,
DEL181,fedex,scooter,standard,south,stormy,289.7,24.36,1521.58,18,5,40,0.8,9.05,11.93,0,0,5.25,62.46,On Time,On Time,0,
